sample	species_sylph	species_miniphy	filename_in_tar_xz	tar_xz	tar_xz_url	tar_xz_md5	tar_xz_size_MB
SAMN02746023	1162T-S-0a-05 sp000964245	1162ts0a05_sp000964245	atb.assembly.r0.2.batch.92/SAMN02746023.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN01730994	14-2 sp000403315	142_sp000403315	atb.assembly.r0.2.batch.92/SAMN01730994.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN01730989	14-2 sp000403845	142_sp000403845	atb.assembly.r0.2.batch.92/SAMN01730989.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN10878285	14-2 sp004793545	142_sp004793545	atb.assembly.r0.2.batch.92/SAMN10878285.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMEA104281794	14-2 sp011960065	142_sp011960065	atb.assembly.r0.2.batch.92/SAMEA104281794.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMEA7532548	14-2 sp011960065	142_sp011960065	atb.assembly.r0.2.batch.92/SAMEA7532548.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMEA5925566	14-2 sp011960065	142_sp011960065	atb.assembly.r0.2.batch.92/SAMEA5925566.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMEA7532547	14-2 sp011960065	142_sp011960065	atb.assembly.r0.2.batch.92/SAMEA7532547.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMEA5925580	14-2 sp011960065	142_sp011960065	atb.assembly.r0.2.batch.92/SAMEA5925580.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMEA104281766	14-2 sp910575005	142_sp910575005	atb.assembly.r0.2.batch.92/SAMEA104281766.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMEA6082002	14-2 sp910575005	142_sp910575005	atb.assembly.r0.2.batch.92/SAMEA6082002.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMEA5925578	14-2 sp910575005	142_sp910575005	atb.assembly.r0.2.batch.92/SAMEA5925578.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMEA5925545	14-2 sp910575035	142_sp910575035	atb.assembly.r0.2.batch.92/SAMEA5925545.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMEA104281785	14-2 sp910575035	142_sp910575035	atb.assembly.r0.2.batch.92/SAMEA104281785.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
