organism,module,blimmp_mean_confidence,mpp_mean_prediction,mpp_group,category
MED4,M00001,0.987,0.0,absent,blimmp_only
MED4,M00002,0.999,0.0,absent,blimmp_only
MED4,M00003,0.959,0.0,absent,blimmp_only
MED4,M00004,0.9940000000000001,1.0,present,both
MED4,M00005,1.0,1.0,present,both
MED4,M00006,0.971,1.0,present,both
MED4,M00007,0.9979999999999999,1.0,present,both
MED4,M00008,0.722,0.0,absent,blimmp_only
MED4,M00009,0.5,0.0,absent,neither
MED4,M00010,0.9540000000000001,1.0,present,both
MED4,M00011,0.17899999999999996,0.0,absent,neither
MED4,M00012,0.223,0.0,absent,neither
MED4,M00015,0.9780000000000001,1.0,present,both
MED4,M00016,0.9330000000000002,0.0,absent,blimmp_only
MED4,M00017,0.745,0.0,absent,blimmp_only
MED4,M00018,0.9979999999999999,1.0,present,both
MED4,M00019,0.996,1.0,present,both
MED4,M00020,0.795,0.0,absent,blimmp_only
MED4,M00021,0.9739999999999999,1.0,present,both
MED4,M00022,0.993,1.0,present,both
MED4,M00023,0.9700000000000001,1.0,present,both
MED4,M00024,0.9380000000000001,0.0,absent,blimmp_only
MED4,M00025,0.9369999999999999,0.0,absent,blimmp_only
MED4,M00026,0.876,0.0,absent,blimmp_only
MED4,M00027,0.013,0.0,absent,neither
MED4,M00028,0.9899999999999999,1.0,present,both
MED4,M00031,0.001,0.0,absent,neither
MED4,M00033,0.109,0.0,absent,neither
MED4,M00034,0.18000000000000002,0.0,absent,neither
MED4,M00035,0.771,0.0,absent,blimmp_only
MED4,M00036,0.011000000000000001,0.0,absent,neither
MED4,M00038,0.0,0.0,absent,neither
MED4,M00040,0.151,0.0,absent,neither
MED4,M00043,0.0,0.0,absent,neither
MED4,M00044,0.025000000000000005,0.0,absent,neither
MED4,M00045,0.019,0.0,absent,neither
MED4,M00046,0.005,0.0,absent,neither
MED4,M00048,1.0,1.0,present,both
MED4,M00049,0.999,1.0,present,both
MED4,M00050,0.999,0.0,absent,blimmp_only
MED4,M00051,0.506,0.0,absent,neither
MED4,M00052,0.988,1.0,present,both
MED4,M00053,0.457,0.0,absent,neither
MED4,M00060,0.227,0.0,absent,neither
MED4,M00061,0.032,0.0,absent,neither
MED4,M00063,0.031,0.0,absent,neither
MED4,M00064,0.503,0.0,absent,neither
MED4,M00082,0.96,1.0,present,both
MED4,M00083,0.9819999999999999,1.0,present,both
MED4,M00086,0.96,0.0,absent,blimmp_only
MED4,M00087,0.037,0.0,absent,neither
MED4,M00088,0.016,0.0,absent,neither
MED4,M00091,0.03,0.0,absent,neither
MED4,M00093,0.381,0.0,absent,neither
MED4,M00095,0.0,0.0,absent,neither
MED4,M00096,0.9419999999999998,0.0,absent,blimmp_only
MED4,M00097,0.919,0.0,absent,blimmp_only
MED4,M00098,0.424,0.0,absent,neither
MED4,M00112,0.03,0.0,absent,neither
MED4,M00115,0.989,0.0,absent,blimmp_only
MED4,M00116,0.61,0.0,absent,blimmp_only
MED4,M00117,0.151,0.0,absent,neither
MED4,M00118,0.949,0.0,absent,blimmp_only
MED4,M00119,0.9460000000000001,0.0,absent,blimmp_only
MED4,M00120,0.993,1.0,present,both
MED4,M00121,0.999,1.0,present,both
MED4,M00122,0.951,0.0,absent,blimmp_only
MED4,M00123,0.956,0.0,absent,blimmp_only
