organism,module,blimmp_mean_confidence,anvio_mean_completeness,category
MED4,M00001,0.987,0.9,both
MED4,M00002,0.999,1.0,both
MED4,M00003,0.959,0.75,both
MED4,M00004,0.9940000000000001,1.0,both
MED4,M00005,1.0,1.0,both
MED4,M00006,0.971,1.0,both
MED4,M00007,0.9979999999999999,1.0,both
MED4,M00008,0.722,0.5,blimmp_only
MED4,M00009,0.5,0.6875,neither
MED4,M00010,0.9540000000000001,1.0,both
MED4,M00011,0.17899999999999996,0.5,neither
MED4,M00012,0.223,0.4000000000000001,neither
MED4,M00013,0.0,0.0,neither
MED4,M00014,0.0,0.1111111111111111,neither
MED4,M00015,0.9780000000000001,1.0,both
MED4,M00016,0.9330000000000002,0.7777777777777778,both
MED4,M00017,0.745,0.8571428571428571,both
MED4,M00018,0.9979999999999999,1.0,both
MED4,M00019,0.996,1.0,both
MED4,M00020,0.795,0.3333333333333333,blimmp_only
MED4,M00021,0.9739999999999999,1.0,both
MED4,M00022,0.993,1.0,both
MED4,M00023,0.9700000000000001,1.0,both
MED4,M00024,0.9380000000000001,0.6666666666666666,blimmp_only
MED4,M00025,0.9369999999999999,0.6666666666666666,blimmp_only
MED4,M00026,0.876,0.875,both
MED4,M00027,0.013,0.0,neither
MED4,M00028,0.9899999999999999,1.0,both
MED4,M00029,0.0,0.6,neither
MED4,M00030,0.0,0.0,neither
MED4,M00031,0.001,0.0,neither
MED4,M00032,0.0,0.0555555555555555,neither
MED4,M00033,0.109,0.4000000000000001,neither
MED4,M00034,0.18000000000000002,0.5,neither
MED4,M00035,0.771,0.5,blimmp_only
MED4,M00036,0.011000000000000001,0.2222222222222222,neither
MED4,M00037,0.0,0.0,neither
MED4,M00038,0.0,0.0,neither
MED4,M00039,0.0,0.0,neither
MED4,M00040,0.151,0.0,neither
MED4,M00042,0.0,0.0,neither
MED4,M00043,0.0,0.0,neither
MED4,M00044,0.025000000000000005,0.0,neither
MED4,M00045,0.019,0.0,neither
MED4,M00046,0.005,0.0,neither
MED4,M00047,0.0,0.0,neither
MED4,M00048,1.0,1.0,both
MED4,M00049,0.999,1.0,both
MED4,M00050,0.999,0.75,both
MED4,M00051,0.506,0.75,anvio_only
MED4,M00052,0.988,1.0,both
MED4,M00053,0.457,0.5,neither
MED4,M00055,0.0,0.0,neither
MED4,M00056,0.0,0.0,neither
MED4,M00057,0.0,0.0,neither
MED4,M00058,0.0,0.0,neither
MED4,M00059,0.0,0.0,neither
MED4,M00060,0.227,0.4444444444444444,neither
MED4,M00061,0.032,0.0,neither
MED4,M00063,0.031,0.0,neither
MED4,M00064,0.503,0.4000000000000001,neither
MED4,M00065,0.0,0.0,neither
MED4,M00066,0.0,0.0,neither
MED4,M00067,0.0,0.0,neither
MED4,M00068,0.0,0.0,neither
MED4,M00069,0.0,0.0,neither
MED4,M00070,0.0,0.0,neither
MED4,M00071,0.0,0.0,neither
MED4,M00072,0.0,0.0,neither
MED4,M00073,0.0,0.0,neither
MED4,M00074,0.0,0.0,neither
MED4,M00075,0.0,0.0,neither
MED4,M00076,0.0,0.0,neither
MED4,M00077,0.0,0.0,neither
MED4,M00078,0.0,0.0,neither
MED4,M00079,0.0,0.0,neither
MED4,M00081,0.0,0.0,neither
MED4,M00082,0.96,1.0,both
MED4,M00083,0.9819999999999999,1.0,both
MED4,M00085,0.0,0.0,neither
MED4,M00086,0.96,1.0,both
MED4,M00087,0.037,0.0,neither
MED4,M00088,0.016,0.0,neither
MED4,M00089,0.0,0.25,neither
MED4,M00090,0.0,0.0,neither
MED4,M00091,0.03,0.0,neither
MED4,M00092,0.0,0.0,neither
MED4,M00093,0.381,0.3333333333333333,neither
MED4,M00094,0.0,0.0,neither
MED4,M00095,0.0,0.0,neither
MED4,M00096,0.9419999999999998,0.875,both
MED4,M00097,0.919,1.0,both
MED4,M00098,0.424,0.5,neither
MED4,M00099,0.0,0.0,neither
MED4,M00100,0.0,0.0,neither
MED4,M00101,0.0,0.0,neither
MED4,M00102,0.0,0.0,neither
MED4,M00103,0.0,0.0,neither
MED4,M00104,0.0,0.0,neither
MED4,M00106,0.0,0.0,neither
MED4,M00107,0.0,0.0,neither
MED4,M00108,0.0,0.0,neither
MED4,M00109,0.0,0.0,neither
MED4,M00110,0.0,0.0,neither
MED4,M00112,0.03,0.25,neither
MED4,M00113,0.0,0.0,neither
MED4,M00114,0.0,0.0,neither
MED4,M00115,0.989,0.6,blimmp_only
MED4,M00116,0.61,0.3333333333333333,blimmp_only
MED4,M00117,0.151,0.25,neither
MED4,M00118,0.949,0.5,blimmp_only
