module,MED4_anvio,MED4_metabolic,MED4_kemet,MED4_mpp,SS120_anvio,SS120_metabolic,SS120_kemet,SS120_mpp,MIT9313_anvio,MIT9313_metabolic,MIT9313_kemet,MIT9313_mpp,Pseudomonas_fluorescens_SBW25_anvio,Pseudomonas_fluorescens_SBW25_metabolic,Pseudomonas_fluorescens_SBW25_kemet,Pseudomonas_fluorescens_SBW25_mpp,overall_pattern
M00001,both,both,both,blimmp_only,both,both,both,blimmp_only,both,both,blimmp_only,blimmp_only,both,both,both,blimmp_only,blimmp_only
M00002,both,both,both,blimmp_only,both,both,both,both,both,both,blimmp_only,blimmp_only,both,both,both,both,blimmp_only
M00003,both,blimmp_only,both,blimmp_only,both,blimmp_only,both,blimmp_only,both,blimmp_only,blimmp_only,blimmp_only,both,both,both,both,blimmp_only
M00004,both,both,both,both,both,both,both,both,both,both,blimmp_only,both,both,both,both,both,blimmp_only
M00005,both,both,both,both,both,both,both,both,both,both,blimmp_only,both,both,both,both,both,blimmp_only
M00006,both,both,both,both,both,both,both,both,both,both,blimmp_only,both,both,both,both,both,blimmp_only
M00007,both,both,both,both,both,both,both,both,both,both,blimmp_only,both,both,both,both,both,blimmp_only
M00008,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,both,both,both,both,blimmp_only
M00009,neither,neither,neither,neither,both,blimmp_only,blimmp_only,blimmp_only,both,blimmp_only,blimmp_only,blimmp_only,both,both,both,both,blimmp_only
M00010,both,both,both,both,both,blimmp_only,both,both,both,both,blimmp_only,both,both,both,both,both,blimmp_only
M00012,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,both,both,both,blimmp_only,blimmp_only
M00015,both,both,both,both,both,both,both,both,both,both,blimmp_only,both,both,both,both,both,blimmp_only
M00016,both,both,both,blimmp_only,both,both,both,blimmp_only,both,both,blimmp_only,blimmp_only,both,both,both,both,blimmp_only
M00017,both,blimmp_only,blimmp_only,blimmp_only,both,blimmp_only,blimmp_only,blimmp_only,both,blimmp_only,blimmp_only,blimmp_only,both,both,both,both,blimmp_only
M00018,both,both,both,both,both,both,both,both,both,both,blimmp_only,both,both,both,both,both,blimmp_only
M00019,both,both,both,both,both,both,both,both,both,both,blimmp_only,both,both,both,both,both,blimmp_only
M00020,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,both,both,both,both,blimmp_only
M00021,both,both,both,both,both,both,both,both,both,both,blimmp_only,both,both,both,both,both,blimmp_only
M00022,both,both,both,both,both,both,both,both,both,both,blimmp_only,both,both,both,both,both,blimmp_only
M00023,both,blimmp_only,both,both,both,blimmp_only,both,both,both,blimmp_only,blimmp_only,both,both,both,both,both,blimmp_only
M00024,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,both,both,both,both,blimmp_only
M00025,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,both,both,both,blimmp_only,blimmp_only
M00026,both,blimmp_only,both,blimmp_only,both,blimmp_only,both,blimmp_only,both,blimmp_only,blimmp_only,blimmp_only,both,both,both,blimmp_only,blimmp_only
M00028,both,both,both,both,both,both,both,both,both,both,blimmp_only,both,both,both,both,both,blimmp_only
M00029,neither,neither,neither,,neither,neither,neither,,neither,neither,neither,,anvio_only,neither,neither,,tool_only
