sample,organism,removal_pct,replicate
Acinetobacter_baumannii_0percentremoved_replicate1,Acinetobacter_baumannii,0,1
Acinetobacter_baumannii_0percentremoved_replicate2,Acinetobacter_baumannii,0,2
Acinetobacter_baumannii_0percentremoved_replicate3,Acinetobacter_baumannii,0,3
Acinetobacter_baumannii_100percentremoved_replicate1,Acinetobacter_baumannii,100,1
Acinetobacter_baumannii_100percentremoved_replicate2,Acinetobacter_baumannii,100,2
Acinetobacter_baumannii_100percentremoved_replicate3,Acinetobacter_baumannii,100,3
Acinetobacter_baumannii_10percentremoved_replicate1,Acinetobacter_baumannii,10,1
Acinetobacter_baumannii_10percentremoved_replicate2,Acinetobacter_baumannii,10,2
Acinetobacter_baumannii_10percentremoved_replicate3,Acinetobacter_baumannii,10,3
Acinetobacter_baumannii_20percentremoved_replicate1,Acinetobacter_baumannii,20,1
Acinetobacter_baumannii_20percentremoved_replicate2,Acinetobacter_baumannii,20,2
Acinetobacter_baumannii_20percentremoved_replicate3,Acinetobacter_baumannii,20,3
Acinetobacter_baumannii_30percentremoved_replicate1,Acinetobacter_baumannii,30,1
Acinetobacter_baumannii_30percentremoved_replicate2,Acinetobacter_baumannii,30,2
Acinetobacter_baumannii_30percentremoved_replicate3,Acinetobacter_baumannii,30,3
Acinetobacter_baumannii_40percentremoved_replicate1,Acinetobacter_baumannii,40,1
Acinetobacter_baumannii_40percentremoved_replicate2,Acinetobacter_baumannii,40,2
Acinetobacter_baumannii_40percentremoved_replicate3,Acinetobacter_baumannii,40,3
Acinetobacter_baumannii_50percentremoved_replicate1,Acinetobacter_baumannii,50,1
Acinetobacter_baumannii_50percentremoved_replicate2,Acinetobacter_baumannii,50,2
Acinetobacter_baumannii_50percentremoved_replicate3,Acinetobacter_baumannii,50,3
Acinetobacter_baumannii_60percentremoved_replicate1,Acinetobacter_baumannii,60,1
Acinetobacter_baumannii_60percentremoved_replicate2,Acinetobacter_baumannii,60,2
Acinetobacter_baumannii_60percentremoved_replicate3,Acinetobacter_baumannii,60,3
Acinetobacter_baumannii_70percentremoved_replicate1,Acinetobacter_baumannii,70,1
Acinetobacter_baumannii_70percentremoved_replicate2,Acinetobacter_baumannii,70,2
Acinetobacter_baumannii_70percentremoved_replicate3,Acinetobacter_baumannii,70,3
Acinetobacter_baumannii_80percentremoved_replicate1,Acinetobacter_baumannii,80,1
Acinetobacter_baumannii_80percentremoved_replicate2,Acinetobacter_baumannii,80,2
Acinetobacter_baumannii_80percentremoved_replicate3,Acinetobacter_baumannii,80,3
Acinetobacter_baumannii_90percentremoved_replicate1,Acinetobacter_baumannii,90,1
Acinetobacter_baumannii_90percentremoved_replicate2,Acinetobacter_baumannii,90,2
Acinetobacter_baumannii_90percentremoved_replicate3,Acinetobacter_baumannii,90,3
MED4_0percentremoved_replicate1,MED4,0,1
MED4_0percentremoved_replicate2,MED4,0,2
MED4_0percentremoved_replicate3,MED4,0,3
MED4_100percentremoved_replicate1,MED4,100,1
MED4_100percentremoved_replicate2,MED4,100,2
MED4_100percentremoved_replicate3,MED4,100,3
MED4_10percentremoved_replicate1,MED4,10,1
MED4_10percentremoved_replicate2,MED4,10,2
MED4_10percentremoved_replicate3,MED4,10,3
MED4_20percentremoved_replicate1,MED4,20,1
MED4_20percentremoved_replicate2,MED4,20,2
MED4_20percentremoved_replicate3,MED4,20,3
MED4_30percentremoved_replicate1,MED4,30,1
MED4_30percentremoved_replicate2,MED4,30,2
MED4_30percentremoved_replicate3,MED4,30,3
MED4_40percentremoved_replicate1,MED4,40,1
MED4_40percentremoved_replicate2,MED4,40,2
MED4_40percentremoved_replicate3,MED4,40,3
MED4_50percentremoved_replicate1,MED4,50,1
MED4_50percentremoved_replicate2,MED4,50,2
MED4_50percentremoved_replicate3,MED4,50,3
MED4_60percentremoved_replicate1,MED4,60,1
MED4_60percentremoved_replicate2,MED4,60,2
MED4_60percentremoved_replicate3,MED4,60,3
MED4_70percentremoved_replicate1,MED4,70,1
MED4_70percentremoved_replicate2,MED4,70,2
MED4_70percentremoved_replicate3,MED4,70,3
