KO id,KO_conf_final,KO_conf_raw,hmm_len,ORF_name,ORF_len,E-value,score,domain_evalue,domain_score,hmm from,hmm to,ali from,ali to,ORF_best_match,ORF_best_match_score,kofam_score_threshold,is_outcompeted,KO_annotation_conf,flag_is_dubious,flag_is_below_kofam_threshold,KO_Neighbors,KO_Neighbor_Count,Modules,KO_count,KO_Background_Freq
K00003,1.0,1.0,890.0,SAMD00000344.contig00001_143,890.0,5.5e-149,495.3,6.6e-149,495.0,283.0,667.0,1.0,414.0,K00003,495.3,287.1,False,1.0,False,False,,0,"M00017,M00018",16056,0.75
K00012,0.408,0.408,726.0,SAMD00000344.contig00004_3,726.0,5.8e-07,25.6,7.1e-07,25.3,240.0,325.0,3.0,82.0,K00057,460.2,369.07,True,1.4871811921588916e-131,False,True,,0,M00761,16343,0.764
K00013,1.0,1.0,677.0,SAMD00000344.contig00008_46,677.0,1.8e-178,592.6,2e-178,592.5,153.0,528.0,2.0,377.0,K00013,592.6,513.17,False,1.0,False,False,"K01663,K14152",2,M00026,18016,0.842
K00014,1.0,1.0,420.0,SAMD00000344.contig00001_207,420.0,1.6e-76,254.9,1.7e-76,254.7,127.0,391.0,11.0,296.0,K00014,254.9,270.13,False,0.9999999999999432,False,True,K13830,1,M00022,19549,0.913
K00018,0.071,0.07,321.0,SAMD00000344.contig00014_13,321.0,5.5e-78,258.9,6.4e-78,258.7,38.0,317.0,35.0,314.0,K00015,382.9,319.2,True,4.7019774032891323e-38,False,True,"K08692,K14067",2,M00346,6785,0.317
K00021,0.001,0.001,889.0,SAMD00000344.contig00016_53,889.0,5.6e-18,61.6,2.1e-12,43.2,371.0,547.0,15.0,193.0,K00054,615.7,224.37,True,1.5822656597112198e-167,False,True,K17942,1,"M00095,M00849",941,0.044
K00022,0.001,0.001,472.0,SAMD00000344.contig00001_118,472.0,9.999999999999999e-85,282.3,1.6e-84,281.7,114.0,408.0,3.0,326.0,K00074,293.8,362.77,True,0.00034514781485651643,False,True,,0,M00087,354,0.017
K00023,0.041,0.041,290.0,SAMD00000344.contig00022_33,290.0,7.100000000000001e-73,242.5,7.9e-73,242.3,40.0,283.0,1.0,238.0,K00059,268.8,337.93,True,1.210350372505266e-08,False,True,,0,M00373,5156,0.241
K00024,0.07,0.07,417.0,SAMD00000344.contig00016_13,417.0,5.800000000000001e-80,266.2,7e-80,266.0,72.0,377.0,7.0,311.0,K00016,361.9,357.5,True,1.5539227141904962e-29,False,True,"K00170,K01900,K04835,K08692,K08940,K08941,K08943,K14067,K14467,K14534,K15016,K15038,K15230,K15231,K19280",15,"M00009,M00011,M00012,M00168,M00173,M00346,M00374,M00614,M00620,M00740",6746,0.315
K00025,0.045,0.045,429.0,SAMD00000344.contig00016_13,429.0,1.9e-08,30.6,2.3e-08,30.3,128.0,270.0,68.0,204.0,K00016,361.9,532.73,True,1.8567884951480366e-100,False,True,K01900,1,"M00009,M00011,M00012,M00168",5451,0.255
K00026,0.009,0.009,534.0,SAMD00000344.contig00016_13,534.0,6.6e-21,72.0,1.6e-20,70.8,96.0,402.0,4.0,310.0,K00016,361.9,502.8,True,5.387710567645688e-88,False,True,,0,"M00009,M00011,M00012,M00168",2363,0.11
K00029,1.0,1.0,720.0,SAMD00000344.contig00018_23,720.0,6.200000000000001e-180,596.9,6.9e-180,596.8,92.0,628.0,4.0,544.0,K22212,970.5,308.6,True,1.0,True,False,,0,M00169,3703,0.173
K00030,0.139,0.138,,,,1000.0,0.0,,,,,,,,,,,0.0,,,"K01900,K05942",2,"M00009,M00010",9519,0.445
K00031,0.245,0.245,,,,1000.0,0.0,,,,,,,,,,,0.0,,,"K01900,K04835,K08940,K08941,K08943,K15230,K15231,K19280,K19281",9,"M00009,M00010,M00173,M00614,M00740",12668,0.592
K00033,1.0,1.0,666.0,SAMD00000344.contig00019_48,666.0,9.1e-223,738.6,9.999999999999999e-223,738.4,58.0,512.0,5.0,473.0,K00033,738.6,151.23,False,1.0,False,False,K13937,1,"M00004,M00006",14623,0.683
K00036,1.0,1.0,608.0,SAMD00000344.contig00019_47,608.0,9.1e-177,586.6,1.1e-176,586.3,79.0,535.0,7.0,486.0,K00036,586.6,367.73,False,1.0,False,False,K13937,1,"M00004,M00006,M00008",15832,0.74
K00040,1.0,1.0,773.0,SAMD00000344.contig00019_30,773.0,1.6e-122,407.4,1.9e-122,407.1,56.0,534.0,18.0,543.0,K00040,407.4,591.97,False,1.0,False,True,,0,M00061,6488,0.303
K00041,0.021,0.021,590.0,SAMD00000344.contig00019_30,590.0,1.3e-35,120.1,1.7999999999999998e-35,119.7,125.0,578.0,36.0,528.0,K00040,407.4,287.03,True,3.266496865177537e-87,False,True,,0,M00631,3704,0.173
K00052,0.495,0.495,,,,1000.0,0.0,,,,,,,,,,,0.0,,,,0,"M00432,M00535",18000,0.841
K00053,0.543,0.543,618.0,SAMD00000344.contig00014_13,618.0,2e-06,23.9,2.6e-06,23.5,118.0,259.0,95.0,234.0,K00015,382.9,127.67,True,8.515919680016411e-109,False,True,,0,"M00019,M00570",18856,0.881
K00054,1.0,1.0,975.0,SAMD00000344.contig00016_53,975.0,2e-185,615.7,2.2e-185,615.5,226.0,647.0,6.0,418.0,K00054,615.7,273.17,False,1.0,False,False,,0,M00849,4244,0.198
